dataset,sample_id,service,locale,duration_s,reference,hypothesis,wer,sentence_error,ins,del,sub,ref_len,first_latency_ms,lbl_ms,upl_ms,upl_self_ms,upl_anchor,speech_start_s,speech_end_s,boundary_fix_action,first_word_start_s,last_word_end_s,vad_truncated_s,error
es-ES_DT1,1l_es-ES_male-DT1/079.Ajusta el volumen del tono de llamada al nivel 5.wav,realtime,es-ES,4.98,Ajusta el volumen del tono de llamada al nivel 5,Ajusta el volumen del tono de llamada al nivel 5.,0.0,0,0,0,0,10,1594.4,-130.4,649.9,649.9,realtime,1.34,4.22,none,1.34,4.22,,
es-ES_DT1,1l_es-ES_male-DT1/079.Ajusta el volumen del tono de llamada al nivel 5.wav,realtime_refine,es-ES,4.98,Ajusta el volumen del tono de llamada al nivel 5,Ajista el volumen del tono de llamada al nivel 5.,0.1,1,0,0,1,10,1390.5,273.5,1074.0,1074.0,realtime,1.34,4.22,none,1.28,4.2,,
es-ES_DT1,1l_es-ES_male-DT1/079.Ajusta el volumen del tono de llamada al nivel 5.wav,fast_mai_1,es-ES,4.98,Ajusta el volumen del tono de llamada al nivel 5,Ajusta el volumen del tono de llamada al nivel 5.,0.0,0,0,0,0,10,5222.4,422.5,1002.8,502.8,realtime,1.34,4.22,none,,,4.72,
es-ES_DT1,1l_es-ES_male-DT1/079.Ajusta el volumen del tono de llamada al nivel 5.wav,fast_llm,es-ES,4.98,Ajusta el volumen del tono de llamada al nivel 5,Ajusta el volumen del tono de llamada al nivel 5.,0.0,0,0,0,0,10,5298.3,497.9,1078.5,578.5,realtime,1.34,4.22,none,,,4.72,
es-ES_DT1,1l_es-ES_male-DT1/079.Ajusta el volumen del tono de llamada al nivel 5.wav,fast_default,es-ES,4.98,Ajusta el volumen del tono de llamada al nivel 5,Ajusta el volumen del tono de llamada al nivel 5.,0.0,0,0,0,0,10,5401.2,600.8,1181.4,1161.4,realtime,1.34,4.22,none,,,4.72,
es-ES_DT1,1l_es-ES_male-DT1/079.Ajusta el volumen del tono de llamada al nivel 5.wav,whisper_v3,es-ES,4.98,Ajusta el volumen del tono de llamada al nivel 5,Ajusta el volumen del tono de llamada al nivel 5.,0.0,0,0,0,0,10,5430.6,630.5,1210.8,1190.8,realtime,1.34,4.22,none,,,4.72,
es-ES_DT1,1r_es-ES_male-DT1/114.Cambia la preferencia de ruta a recomendación inteligente.wav,realtime,es-ES,5.29,Cambia la preferencia de ruta a recomendación inteligente,Cambia la preferencia de ruta a recomendación inteligente.,0.0,0,0,0,0,8,1703.0,15.2,675.6,675.6,realtime,1.2,4.64,none,1.2,4.64,,
es-ES_DT1,1r_es-ES_male-DT1/114.Cambia la preferencia de ruta a recomendación inteligente.wav,realtime_refine,es-ES,5.29,Cambia la preferencia de ruta a recomendación inteligente,Cambia la preferencia de ruta a recomendación inteligente.,0.0,0,0,0,0,8,1252.8,564.9,1225.1,1225.1,realtime,1.2,4.64,none,1.2,4.64,,
es-ES_DT1,1r_es-ES_male-DT1/114.Cambia la preferencia de ruta a recomendación inteligente.wav,fast_mai_1,es-ES,5.29,Cambia la preferencia de ruta a recomendación inteligente,Cambia la preferencia de ruta a Recomendación inteligente.,0.0,0,0,0,0,8,5657.3,456.9,1017.4,517.4,realtime,1.2,4.64,none,,,5.14,
es-ES_DT1,1r_es-ES_male-DT1/114.Cambia la preferencia de ruta a recomendación inteligente.wav,fast_llm,es-ES,5.29,Cambia la preferencia de ruta a recomendación inteligente,Cambia la preferencia de ruta a recomendación inteligente.,0.0,0,0,0,0,8,5714.8,514.7,1075.0,1125.0,realtime,1.2,4.64,none,,,5.14,
es-ES_DT1,1r_es-ES_male-DT1/114.Cambia la preferencia de ruta a recomendación inteligente.wav,whisper_v3,es-ES,5.29,Cambia la preferencia de ruta a recomendación inteligente,Cambia la preferencia de ruta a recomendación inteligente.,0.0,0,0,0,0,8,5818.5,618.2,1178.6,1178.6,realtime,1.2,4.64,none,,,5.14,
es-ES_DT1,1r_es-ES_male-DT1/114.Cambia la preferencia de ruta a recomendación inteligente.wav,fast_default,es-ES,5.29,Cambia la preferencia de ruta a recomendación inteligente,Cambia la preferencia de ruta a recomendación inteligente.,0.0,0,0,0,0,8,5843.4,643.5,1203.6,1203.6,realtime,1.2,4.64,none,,,5.14,
es-ES_DT1,1r_es-ES_male-DT1/052.Activa el desbloqueo automático de las puertas cuando está estacionado.wav,realtime,es-ES,5.67,Activa el desbloqueo automático de las puertas cuando está estacionado,Activa el desbloqueo automático de las puertas cuando está estacionado.,0.0,0,0,0,0,10,1680.5,-20.8,679.4,679.4,realtime,1.36,5.0,none,1.36,5.0,,
es-ES_DT1,1r_es-ES_male-DT1/052.Activa el desbloqueo automático de las puertas cuando está estacionado.wav,realtime_refine,es-ES,5.67,Activa el desbloqueo automático de las puertas cuando está estacionado,Activa el desbloqueo automático de las puertas cuando está estacionado.,0.0,0,0,0,0,10,1436.0,492.9,1233.2,1233.2,realtime,1.36,5.0,none,1.36,4.96,,
es-ES_DT1,1r_es-ES_male-DT1/052.Activa el desbloqueo automático de las puertas cuando está estacionado.wav,fast_mai_1,es-ES,5.67,Activa el desbloqueo automático de las puertas cuando está estacionado,Activa el desbloqueo automático de las puertas cuando está estacionado.,0.0,0,0,0,0,10,6056.4,556.0,1056.5,556.5,realtime,1.36,5.0,none,,,5.5,
es-ES_DT1,1r_es-ES_male-DT1/052.Activa el desbloqueo automático de las puertas cuando está estacionado.wav,fast_llm,es-ES,5.67,Activa el desbloqueo automático de las puertas cuando está estacionado,Activa el desbloqueo automático de las puertas cuando está estacionado.,0.0,0,0,0,0,10,6139.7,639.4,1139.8,1229.8,realtime,1.36,5.0,none,,,5.5,
es-ES_DT1,1r_es-ES_male-DT1/052.Activa el desbloqueo automático de las puertas cuando está estacionado.wav,whisper_v3,es-ES,5.67,Activa el desbloqueo automático de las puertas cuando está estacionado,Activa el desbloqueo automático de las puertas cuando está estacionado.,0.0,0,0,0,0,10,6167.3,667.2,1167.5,1207.5,realtime,1.36,5.0,none,,,5.5,
es-ES_DT1,1r_es-ES_male-DT1/052.Activa el desbloqueo automático de las puertas cuando está estacionado.wav,fast_default,es-ES,5.67,Activa el desbloqueo automático de las puertas cuando está estacionado,Activa el desbloqueo automático de las puertas cuando está estacionado.,0.0,0,0,0,0,10,6194.5,694.4,1194.6,1234.6,realtime,1.36,5.0,none,,,5.5,
es-ES_DT1,1l_es-ES_female-DT1/052.Activa el desbloqueo automático de las puertas cuando está estacionado.wav,realtime,es-ES,5.89,Activa el desbloqueo automático de las puertas cuando está estacionado,Activa el desbloqueo automático de las puertas cuando está estacionado.,0.0,0,0,0,0,10,1689.5,-279.2,540.9,540.9,realtime,1.2,5.08,none,1.2,5.08,,
es-ES_DT1,1l_es-ES_female-DT1/052.Activa el desbloqueo automático de las puertas cuando está estacionado.wav,realtime_refine,es-ES,5.89,Activa el desbloqueo automático de las puertas cuando está estacionado,Activa el desbloqueo automático de las puertas cuando está estacionado.,0.0,0,0,0,0,10,1231.8,324.1,994.5,994.5,realtime,1.2,5.08,none,1.23,5.23,,
es-ES_DT1,1l_es-ES_female-DT1/052.Activa el desbloqueo automático de las puertas cuando está estacionado.wav,fast_mai_1,es-ES,5.89,Activa el desbloqueo automático de las puertas cuando está estacionado,Activa el desbloqueo automático de las puertas cuando está estacionado.,0.0,0,0,0,0,10,6087.7,487.7,1007.9,507.9,realtime,1.2,5.08,none,,,5.58,
