序号,预期结果,转录结果,音频地址
1,Halloween lights and fan speed 8,Halloween lights and phones B8.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765189-BbVLs7OD.pcm?t=1778566619015
2,"Just finished cooking and the kitchen smells terrible—set speed to 10, turn off oscillation, purify on, and also mute","Just finished the cooking and the kitchen smells terrible. Set speed to 10. Turn off oscillation, purify on and also mute.",https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765189-dAn9Xfa6.pcm?t=1778566619015
3,set disco light effect,Set this color effect.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765189-n0SdWW5Z.pcm?t=1778566619015
4,"Just got back—set speed to 10, start oscillation, turn on purification, and set purification to auto",Just got back. Set me to 10 start oscillation. Turn on Purification and set Purification to Auto.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765189-Qo93LfVV.pcm?t=1778566619015
5,"Kitchen's smoky—max out the fan, start swinging, run the purifier, and set it to auto purification","Kitchen Smokey Max out the fan. Start swaying, run the purifier and set it to auto purification.",https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765189-sTUebzan.pcm?t=1778566619015
6,"Just got back—crank it to 10, hold it still, start the purifier, and put purification on auto",Just got back. Crank it to 10. Hold it still. Start purifier and put purification on auto.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765199-GN1vnNN4.pcm?t=1778566619015
7,"Baby's asleep—speed 3, stop swinging, start the purifier, and put purification on auto","Babies asleep. Speed three, stop swaying. Start a purifier and put purification on auto.",https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765199-Zi0XdOjU.pcm?t=1778566619015
8,Turn off the display and set purification to level 2,Turn off the display and set verification to level 2.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765208-MQaC7pix.pcm?t=1778566619015
9,Purify harder and less fan,Perfect. Harder and less fun.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765209-MIFHt6ym.pcm?t=1778566619015
10,Less wind,Lesbian.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765209-Ti0HmxS3.pcm?t=1778566619015
