dataset,sample_id,service,locale,duration_s,reference,hypothesis,wer,sentence_error,ins,del,sub,ref_len,first_latency_ms,lbl_ms,upl_ms,upl_self_ms,upl_anchor,speech_start_s,speech_end_s,boundary_fix_action,first_word_start_s,last_word_end_s,vad_truncated_s,error
nb-NO_DT1,1l_nb-NO_male-DT1/079.Juster ringetonevolum til 5 nivåer.wav,realtime,nb-NO,4.44,Juster ringetonevolum til 5 nivåer,Juster ringetone volum til 5 nivåer.,0.0,0,0,0,0,5,1753.6,86.6,887.1,887.1,realtime,1.23,3.7,none,1.23,3.7,,
nb-NO_DT1,1l_nb-NO_male-DT1/079.Juster ringetonevolum til 5 nivåer.wav,fast_default,nb-NO,4.44,Juster ringetonevolum til 5 nivåer,Juster ringetonevolum til 5 nivåer.,0.0,0,0,0,0,5,4847.6,647.4,1147.7,1167.7,realtime,1.23,3.7,none,,,4.2,
nb-NO_DT1,1l_nb-NO_male-DT1/079.Juster ringetonevolum til 5 nivåer.wav,fast_mai_1,nb-NO,4.44,Juster ringetonevolum til 5 nivåer,Juster ringetonevolum til fem nivåer.,0.2,1,0,0,1,5,4703.6,503.1,1003.6,503.6,realtime,1.23,3.7,none,,,4.2,
nb-NO_DT1,1l_nb-NO_male-DT1/079.Juster ringetonevolum til 5 nivåer.wav,whisper_v3,nb-NO,4.44,Juster ringetonevolum til 5 nivåer,Juster ringetonevolum til 5 nivåer.,0.0,0,0,0,0,5,4859.3,659.0,1159.4,1099.4,realtime,1.23,3.7,none,,,4.2,
nb-NO_DT1,1r_nb-NO_male-DT1/114.Endre ruteinnstilling til intelligent anbefaling.wav,realtime,nb-NO,4.69,Endre ruteinnstilling til intelligent anbefaling,Stilling virkelig varmt.,1.0,1,0,2,3,5,1326.2,75.3,1515.8,1515.8,realtime,1.97,2.94,trim_last,1.97,3.26,,
nb-NO_DT1,1r_nb-NO_male-DT1/114.Endre ruteinnstilling til intelligent anbefaling.wav,fast_mai_1,nb-NO,4.69,Endre ruteinnstilling til intelligent anbefaling,,1.0,1,0,5,0,5,3922.7,422.5,982.8,482.8,realtime,1.97,2.94,trim_last,,,3.44,
nb-NO_DT1,1r_nb-NO_male-DT1/114.Endre ruteinnstilling til intelligent anbefaling.wav,fast_default,nb-NO,4.69,Endre ruteinnstilling til intelligent anbefaling,Kan du si det ikke varmt?,1.2,1,1,0,5,5,4140.6,640.1,1200.6,860.6,realtime,1.97,2.94,trim_last,,,3.44,
nb-NO_DT1,1r_nb-NO_male-DT1/114.Endre ruteinnstilling til intelligent anbefaling.wav,whisper_v3,nb-NO,4.69,Endre ruteinnstilling til intelligent anbefaling,Kan du si det ikke varmt?,1.2,1,1,0,5,5,4131.7,631.2,1191.8,1011.8,realtime,1.97,2.94,trim_last,,,3.44,
nb-NO_DT1,1r_nb-NO_male-DT1/052.Aktiver automatisk opplåsing av dørene når bilen er parkert.wav,realtime,nb-NO,5.13,Aktiver automatisk opplåsing av dørene når bilen er parkert,Aktiver automatisk størrelsen dørene når bilen er parkert.,0.2222,1,0,1,1,9,1717.1,-11.6,878.9,878.9,realtime,1.16,4.31,none,1.16,4.31,,
nb-NO_DT1,1r_nb-NO_male-DT1/052.Aktiver automatisk opplåsing av dørene når bilen er parkert.wav,fast_mai_1,nb-NO,5.13,Aktiver automatisk opplåsing av dørene når bilen er parkert,Aktiver automatisk opphørelse av dørene når bilen er parkert.,0.1111,1,0,0,1,9,5334.5,434.3,1024.6,525.6,realtime,1.16,4.31,none,,,4.81,
nb-NO_DT1,1r_nb-NO_male-DT1/052.Aktiver automatisk opplåsing av dørene når bilen er parkert.wav,whisper_v3,nb-NO,5.13,Aktiver automatisk opplåsing av dørene når bilen er parkert,Aktiver automatisk oppholdse med dørene når bilen er parkert.,0.2222,1,0,0,2,9,5546.5,646.0,1236.6,1226.6,realtime,1.16,4.31,none,,,4.81,
nb-NO_DT1,1r_nb-NO_male-DT1/052.Aktiver automatisk opplåsing av dørene når bilen er parkert.wav,fast_default,nb-NO,5.13,Aktiver automatisk opplåsing av dørene når bilen er parkert,Aktiver automatisk oppholdse med dørene når bilen er parkert.,0.2222,1,0,0,2,9,5578.5,678.2,1268.6,1258.6,realtime,1.16,4.31,none,,,4.81,
nb-NO_DT1,1l_nb-NO_female-DT1/052.Aktiver automatisk opplåsing av dørene når bilen er parkert.wav,realtime,nb-NO,5.72,Aktiver automatisk opplåsing av dørene når bilen er parkert,Apple automatisk og fræsing av dørene når bilen er parkert.,0.3333,1,1,0,2,9,1733.9,86.2,916.3,916.3,realtime,1.13,4.97,none,1.13,4.97,,
nb-NO_DT1,1l_nb-NO_female-DT1/052.Aktiver automatisk opplåsing av dørene når bilen er parkert.wav,fast_default,nb-NO,5.72,Aktiver automatisk opplåsing av dørene når bilen er parkert,Akkler automatisk opp låsing av dørene når bilen er parkert.,0.3333,1,1,0,2,9,6166.6,666.4,1196.7,1206.7,realtime,1.13,4.97,none,,,5.47,
nb-NO_DT1,1l_nb-NO_female-DT1/052.Aktiver automatisk opplåsing av dørene når bilen er parkert.wav,fast_mai_1,nb-NO,5.72,Aktiver automatisk opplåsing av dørene når bilen er parkert,Aktiver automatisk opplåsing av dørene når bilen er parkert.,0.0,0,0,0,0,9,6146.5,646.3,1176.6,676.6,realtime,1.13,4.97,none,,,5.47,
nb-NO_DT1,1l_nb-NO_female-DT1/052.Aktiver automatisk opplåsing av dørene når bilen er parkert.wav,whisper_v3,nb-NO,5.72,Aktiver automatisk opplåsing av dørene når bilen er parkert,Akkler automatisk opp låsing av dørene når bilen er parkert.,0.3333,1,1,0,2,9,6210.1,709.7,1240.2,1250.2,realtime,1.13,4.97,none,,,5.47,
nb-NO_DT1,1r_nb-NO_male-DT1/008.Synkroniser temperaturer.wav,realtime,nb-NO,3.7,Synkroniser temperaturer,Vi ser.,1.0,1,0,0,2,2,1219.2,327.0,1877.2,1877.2,realtime,1.76,2.15,trim_first,1.58,2.15,,
nb-NO_DT1,1r_nb-NO_male-DT1/008.Synkroniser temperaturer.wav,fast_mai_1,nb-NO,3.7,Synkroniser temperaturer,Så vi får se.,2.0,1,2,0,2,2,3122.8,422.7,972.9,472.9,realtime,1.76,2.15,trim_first,,,2.65,
nb-NO_DT1,1r_nb-NO_male-DT1/008.Synkroniser temperaturer.wav,whisper_v3,nb-NO,3.7,Synkroniser temperaturer,Så kan vi se at.,2.5,1,3,0,2,2,3246.2,546.2,1096.3,686.3,realtime,1.76,2.15,trim_first,,,2.65,
nb-NO_DT1,1r_nb-NO_male-DT1/008.Synkroniser temperaturer.wav,fast_default,nb-NO,3.7,Synkroniser temperaturer,Så kan vi se at.,2.5,1,3,0,2,2,3467.8,767.2,1317.8,907.8,realtime,1.76,2.15,trim_first,,,2.65,
nb-NO_DT1,1l_nb-NO_male-DT1/136.Spill av 100 7 FM.wav,realtime,nb-NO,3.68,Spill av 100 7 FM,Spill av 107 f.,0.6,1,0,1,2,5,982.1,288.2,1068.5,1068.5,realtime,,,skip,1.22,2.92,,
nb-NO_DT1,1l_nb-NO_male-DT1/136.Spill av 100 7 FM.wav,fast_mai_1,nb-NO,3.68,Spill av 100 7 FM,Spill av 107 FM.,0.4,1,0,1,1,5,4145.4,445.3,465.5,465.5,self,,,skip,,,,
nb-NO_DT1,1l_nb-NO_male-DT1/136.Spill av 100 7 FM.wav,whisper_v3,nb-NO,3.68,Spill av 100 7 FM,Spill av 107 f. 5.,0.6,1,0,0,3,5,4289.4,588.3,1328.7,1328.7,self,,,skip,,,,
nb-NO_DT1,1l_nb-NO_male-DT1/136.Spill av 100 7 FM.wav,fast_default,nb-NO,3.68,Spill av 100 7 FM,Spill av 107 f. 5.,0.6,1,0,0,3,5,4338.6,638.5,1378.6,1378.6,self,,,skip,,,,
nb-NO_DT1,1l_nb-NO_male-DT1/060.Slå på automatisk parkering.wav,realtime,nb-NO,3.85,Slå på automatisk parkering,Slå på automatisk parkering?,0.0,0,0,0,0,4,1056.8,284.7,995.1,995.1,realtime,1.23,3.19,none,1.23,3.19,,
nb-NO_DT1,1l_nb-NO_male-DT1/060.Slå på automatisk parkering.wav,fast_default,nb-NO,3.85,Slå på automatisk parkering,Slå på automatisk parkering?,0.0,0,0,0,0,4,4087.7,387.4,897.8,887.8,realtime,1.23,3.19,none,,,3.69,
nb-NO_DT1,1l_nb-NO_male-DT1/060.Slå på automatisk parkering.wav,whisper_v3,nb-NO,3.85,Slå på automatisk parkering,Slå på automatisk parkering?,0.0,0,0,0,0,4,4092.2,391.7,902.2,892.2,realtime,1.23,3.19,none,,,3.69,
nb-NO_DT1,1l_nb-NO_male-DT1/060.Slå på automatisk parkering.wav,fast_mai_1,nb-NO,3.85,Slå på automatisk parkering,Slå på automatisk parkering.,0.0,0,0,0,0,4,4101.8,401.4,911.8,411.8,realtime,1.23,3.19,none,,,3.69,
nb-NO_DT1,2r_nb-NO_male-DT1/067.Jeg vil åpne systeminnstillingene.wav,realtime,nb-NO,4.02,Jeg vil åpne systeminnstillingene,,1.0,1,0,4,0,4,,,,,realtime,,,skip,,,,
nb-NO_DT1,2r_nb-NO_male-DT1/067.Jeg vil åpne systeminnstillingene.wav,whisper_v3,nb-NO,4.02,Jeg vil åpne systeminnstillingene,,1.0,1,0,4,0,4,4377.0,276.7,,,,,,skip,,,,
nb-NO_DT1,2r_nb-NO_male-DT1/067.Jeg vil åpne systeminnstillingene.wav,fast_default,nb-NO,4.02,Jeg vil åpne systeminnstillingene,,1.0,1,0,4,0,4,4501.3,401.1,,,,,,skip,,,,
nb-NO_DT1,2r_nb-NO_male-DT1/067.Jeg vil åpne systeminnstillingene.wav,fast_mai_1,nb-NO,4.02,Jeg vil åpne systeminnstillingene,,1.0,1,0,4,0,4,4533.0,432.3,514.0,514.0,self,,,skip,,,,
nb-NO_DT1,1l_nb-NO_male-DT1/029.Åpne seteinntillingssiden.wav,realtime,nb-NO,3.68,Åpne seteinntillingssiden,Åpne c treningssiden.,1.0,1,1,0,1,2,1579.6,75.7,896.2,896.2,realtime,1.11,2.26,trim_last,1.11,2.88,,
nb-NO_DT1,1l_nb-NO_male-DT1/029.Åpne seteinntillingssiden.wav,fast_mai_1,nb-NO,3.68,Åpne seteinntillingssiden,Og når ser du til innsiden?,3.0,1,4,0,2,2,3303.5,503.4,1043.6,544.6,realtime,1.11,2.26,trim_last,,,2.76,
nb-NO_DT1,1l_nb-NO_male-DT1/029.Åpne seteinntillingssiden.wav,whisper_v3,nb-NO,3.68,Åpne seteinntillingssiden,Åpne c. p. inntringssiden.,1.5,1,2,0,1,2,3432.8,632.7,1172.8,632.8,realtime,1.11,2.26,trim_last,,,2.76,
nb-NO_DT1,1l_nb-NO_male-DT1/029.Åpne seteinntillingssiden.wav,fast_default,nb-NO,3.68,Åpne seteinntillingssiden,Åpne c. p. inntringssiden.,1.5,1,2,0,1,2,3562.4,762.1,1302.4,762.4,realtime,1.11,2.26,trim_last,,,2.76,
nb-NO_DT1,2l_nb-NO_male-DT1/115.Velg korteste avstand.wav,realtime,nb-NO,3.59,Velg korteste avstand,Velg korteste avstemning.,0.3333,1,0,0,1,3,1047.8,270.9,931.5,931.5,realtime,1.14,2.94,none,1.14,2.94,,
nb-NO_DT1,2l_nb-NO_male-DT1/115.Velg korteste avstand.wav,fast_mai_1,nb-NO,3.59,Velg korteste avstand,Velg korteste avstand.,0.0,0,0,0,0,3,3963.4,463.3,1023.4,523.4,realtime,1.14,2.94,none,,,3.44,
nb-NO_DT1,2l_nb-NO_male-DT1/115.Velg korteste avstand.wav,fast_default,nb-NO,3.59,Velg korteste avstand,Velg korteste avstemning.,0.3333,1,0,0,1,3,4060.4,560.2,1120.4,1340.4,realtime,1.14,2.94,none,,,3.44,
nb-NO_DT1,2l_nb-NO_male-DT1/115.Velg korteste avstand.wav,whisper_v3,nb-NO,3.59,Velg korteste avstand,Velg korteste avstemning.,0.3333,1,0,0,1,3,4113.3,613.2,1173.4,1393.4,realtime,1.14,2.94,none,,,3.44,
nb-NO_DT1,1l_nb-NO_female-DT1/066.Åpne visningen for energiforbrukskurven.wav,realtime,nb-NO,4.32,Åpne visningen for energiforbrukskurven,"Åpne visningen for en skiferbrot, steven.",0.75,1,2,0,1,4,1072.4,285.0,1026.8,1026.8,realtime,1.13,3.06,trim_last,1.13,3.66,,
nb-NO_DT1,1l_nb-NO_female-DT1/066.Åpne visningen for energiforbrukskurven.wav,fast_mai_1,nb-NO,4.32,Åpne visningen for energiforbrukskurven,Åpne visningen for å beskytte bruksheven.,0.75,1,2,0,1,4,3987.4,387.0,927.5,427.5,realtime,1.13,3.06,trim_last,,,3.56,
nb-NO_DT1,1l_nb-NO_female-DT1/066.Åpne visningen for energiforbrukskurven.wav,fast_default,nb-NO,4.32,Åpne visningen for energiforbrukskurven,Åpner visningen for en skifte bruksfelvem.,1.0,1,2,0,2,4,4239.9,639.6,1179.9,719.9,realtime,1.13,3.06,trim_last,,,3.56,
nb-NO_DT1,1l_nb-NO_female-DT1/066.Åpne visningen for energiforbrukskurven.wav,whisper_v3,nb-NO,4.32,Åpne visningen for energiforbrukskurven,Åpner visningen for en skifte bruksfelvem.,1.0,1,2,0,2,4,4282.7,682.4,1222.7,762.7,realtime,1.13,3.06,trim_last,,,3.56,
nb-NO_DT1,1l_nb-NO_female-DT1/062.Slå på varsling for kollisjon bak.wav,realtime,nb-NO,4.2,Slå på varsling for kollisjon bak,Slå på varsling på en provisjon bak.,0.5,1,1,0,2,6,920.4,72.2,892.4,892.4,realtime,1.18,3.38,none,1.18,3.38,,
nb-NO_DT1,1l_nb-NO_female-DT1/062.Slå på varsling for kollisjon bak.wav,fast_mai_1,nb-NO,4.2,Slå på varsling for kollisjon bak,Slå på varsling for en posisjon bak.,0.3333,1,1,0,1,6,4287.1,386.7,907.2,407.2,realtime,1.18,3.38,none,,,3.88,
nb-NO_DT1,1l_nb-NO_female-DT1/062.Slå på varsling for kollisjon bak.wav,fast_default,nb-NO,4.2,Slå på varsling for kollisjon bak,Slå på varsling på en visjon bak.,0.5,1,1,0,2,6,4487.5,587.2,1107.5,1287.5,realtime,1.18,3.38,none,,,3.88,
nb-NO_DT1,1l_nb-NO_female-DT1/062.Slå på varsling for kollisjon bak.wav,whisper_v3,nb-NO,4.2,Slå på varsling for kollisjon bak,Slå på varsling på en visjon bak.,0.5,1,1,0,2,6,4551.9,651.9,1172.0,1352.0,realtime,1.18,3.38,none,,,3.88,
nb-NO_DT1,1r_nb-NO_female-DT1/148.Ignorer anrop.wav,realtime,nb-NO,3.2,Ignorer anrop,Vel anrop.,0.5,1,0,0,1,2,1083.6,60.2,910.4,910.4,realtime,1.64,2.35,none,1.64,2.35,,
nb-NO_DT1,1r_nb-NO_female-DT1/148.Ignorer anrop.wav,whisper_v3,nb-NO,3.2,Ignorer anrop,Anrop.,0.5,1,0,1,0,2,3417.7,517.8,1067.9,1097.9,realtime,1.64,2.35,none,,,2.85,
nb-NO_DT1,1r_nb-NO_female-DT1/148.Ignorer anrop.wav,fast_mai_1,nb-NO,3.2,Ignorer anrop,Det gjelder andre oppgaver.,2.0,1,2,0,2,2,3846.3,946.0,1496.3,996.3,realtime,1.64,2.35,none,,,2.85,
nb-NO_DT1,1r_nb-NO_female-DT1/148.Ignorer anrop.wav,fast_default,nb-NO,3.2,Ignorer anrop,Anrop.,0.5,1,0,1,0,2,3866.5,966.4,1516.6,1546.6,realtime,1.64,2.35,none,,,2.85,
nb-NO_DT1,1l_nb-NO_male-DT1/042.Slå på smarte fjernlys.wav,realtime,nb-NO,3.65,Slå på smarte fjernlys,Slå på smarte fjernlys.,0.0,0,0,0,0,4,957.5,266.8,967.3,967.3,realtime,1.14,3.0,none,1.14,3.0,,
nb-NO_DT1,1l_nb-NO_male-DT1/042.Slå på smarte fjernlys.wav,whisper_v3,nb-NO,3.65,Slå på smarte fjernlys,Slå på smarte fjernlys.,0.0,0,0,0,0,4,4061.4,561.0,1061.6,1101.6,realtime,1.14,3.0,none,,,3.5,
nb-NO_DT1,1l_nb-NO_male-DT1/042.Slå på smarte fjernlys.wav,fast_default,nb-NO,3.65,Slå på smarte fjernlys,Slå på smarte fjernlys.,0.0,0,0,0,0,4,4109.6,609.4,1109.7,1149.7,realtime,1.14,3.0,none,,,3.5,
